,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Car_Age,Company_Name,Model_Name
2842,Mercedes-Benz CLA,Ahmedabad,2015,13500,Diesel,Automatic,First,Black/Silver,5,4,25.51,17.9,kmpl,2143,CC,136,bhp,10,Mercedes-Benz,CLA
2843,Mahindra Scorpio,Hyderabad,2015,120000,Diesel,Manual,First,White,7,5,12,15.4,kmpl,2179,CC,120,bhp,10,Mahindra,Scorpio
2844,Ford Endeavour,Chennai,2019,9000,Diesel,Automatic,First,White,7,5,32.9,12.62,kmpl,2198,CC,158,bhp,6,Ford,Endeavour
2845,Hyundai Accent,Hyderabad,2008,62364,Petrol,Manual,First,White,5,4,2.3,13.2,kmpl,1495,CC,94,bhp,17,Hyundai,Accent
2846,Honda City,Pune,2009,60000,Petrol,Manual,Third,White,5,4,3.25,17,kmpl,1493,CC,98.59,bhp,16,Honda,City
2847,Hyundai i10,Delhi,2012,59000,Petrol,Manual,First,Others,5,4,2.85,20.36,kmpl,1197,CC,78.9,bhp,13,Hyundai,i10
2848,Maruti Wagon,Ahmedabad,2010,21002,Petrol,Manual,First,White,5,4,2.75,22.5,kmpl,998,CC,67.04,bhp,15,Maruti,Wagon
2849,Maruti Zen,Chennai,2004,29000,Petrol,Manual,First,Black/Silver,5,4,1.6,17.3,kmpl,993,CC,60,bhp,21,Maruti,Zen
2850,Honda Amaze,Mumbai,2014,21000,Petrol,Manual,First,Black/Silver,5,4,4.75,19.5,kmpl,1199,CC,86.76,bhp,11,Honda,Amaze
2851,Maruti Ritz,Pune,2010,71000,Diesel,Manual,First,Black/Silver,5,4,3,21.1,kmpl,1248,CC,73.9,bhp,15,Maruti,Ritz
2852,Volkswagen Jetta,Ahmedabad,2013,68008,Diesel,Manual,Second,Others,5,4,6.75,15,kmpl,1896,CC,105,bhp,12,Volkswagen,Jetta
2853,Chevrolet Sail,Kolkata,2014,14000,Petrol,Manual,First,Black/Silver,5,4,3,18.2,kmpl,1199,CC,82.5,bhp,11,Chevrolet,Sail
2854,Hyundai Elantra,Mumbai,2014,55619,Petrol,Manual,First,White,5,4,8.3,16.3,kmpl,1493,CC,98.59,bhp,11,Hyundai,Elantra
2855,Hyundai Xcent,Kolkata,2014,42000,Petrol,Manual,First,White,5,4,3.45,19.1,kmpl,1197,CC,81.86,bhp,11,Hyundai,Xcent
2856,Toyota Fortuner,Delhi,2014,89540,Diesel,Automatic,First,Black/Silver,7,5,16.8,12.55,kmpl,2982,CC,168.5,bhp,11,Toyota,Fortuner
2857,BMW 3,Kolkata,2013,21983,Diesel,Automatic,First,Black/Silver,5,4,16.5,18.88,kmpl,1995,CC,184,bhp,12,BMW,3
2858,Maruti Swift,Bangalore,2008,100000,Diesel,Manual,Second,Black/Silver,5,4,3,17.8,kmpl,1248,CC,75,bhp,17,Maruti,Swift
2859,Maruti Swift,Kochi,2019,20667,Petrol,Manual,First,White,5,4,6.37,22,kmpl,1197,CC,81.8,bhp,6,Maruti,Swift
2860,Maruti Swift,Kochi,2017,31696,Petrol,Manual,First,Others,5,4,5.75,20.4,kmpl,1197,CC,81.8,bhp,8,Maruti,Swift
2861,Volkswagen Jetta,Hyderabad,2014,42939,Diesel,Automatic,First,Others,5,4,12.49,16.96,kmpl,1968,CC,138.03,bhp,11,Volkswagen,Jetta
2862,Maruti Swift,Hyderabad,2016,54631,Diesel,Manual,First,Black/Silver,5,4,6.25,25.2,kmpl,1248,CC,74,bhp,9,Maruti,Swift
2863,Toyota Etios,Mumbai,2011,74000,Diesel,Manual,First,Others,5,4,3.6,23.59,kmpl,1364,CC,98.59,bhp,14,Toyota,Etios
2864,Maruti Alto,Hyderabad,2017,25058,Petrol,Automatic,First,Others,5,4,3.95,24.07,kmpl,998,CC,67.1,bhp,8,Maruti,Alto
2865,Hyundai i20,Kochi,2016,61823,Petrol,Manual,First,Others,5,4,6.14,18.6,kmpl,1197,CC,81.83,bhp,9,Hyundai,i20
2866,Honda City,Coimbatore,2017,45366,Diesel,Manual,First,Black/Silver,5,4,10.88,25.1,kmpl,1498,CC,98.6,bhp,8,Honda,City
2867,Maruti Swift,Ahmedabad,2012,56121,Diesel,Manual,First,White,5,4,4.25,23.4,kmpl,1248,CC,74,bhp,13,Maruti,Swift
2868,Mahindra Ssangyong,Mumbai,2013,53000,Diesel,Automatic,Second,Others,7,5,12.5,11.18,kmpl,2696,CC,184,bhp,12,Mahindra,Ssangyong
2869,Tata Indigo,Delhi,2015,150000,Diesel,Manual,First,Black/Silver,5,4,2.5,25,kmpl,1396,CC,69.01,bhp,10,Tata,Indigo
2870,Maruti Swift,Hyderabad,2009,71346,Petrol,Manual,First,Others,5,4,3.8,17.5,kmpl,1298,CC,85.8,bhp,16,Maruti,Swift
2871,BMW 3,Mumbai,2008,66000,Diesel,Automatic,Second,Black/Silver,5,4,7.25,16.07,kmpl,1995,CC,181,bhp,17,BMW,3
2872,Maruti Wagon,Coimbatore,2015,43053,Petrol,Manual,First,Others,5,4,4.65,18.9,kmpl,998,CC,67.1,bhp,10,Maruti,Wagon
2873,Mahindra TUV,Pune,2016,67000,Diesel,Manual,First,White,7,5,6.3,18.49,kmpl,1493,CC,100,bhp,9,Mahindra,TUV
2874,Mahindra Bolero,Chennai,2011,99000,Diesel,Manual,Second,White,7,5,4.5,13.6,kmpl,2523,CC,63,bhp,14,Mahindra,Bolero
2875,Maruti Vitara,Kochi,2018,51921,Diesel,Manual,First,White,5,4,8.62,24.3,kmpl,1248,CC,88.5,bhp,7,Maruti,Vitara
2876,Maruti Ertiga,Hyderabad,2016,42000,Diesel,Manual,First,White,7,5,9.9,25.47,kmpl,1248,CC,88.5,bhp,9,Maruti,Ertiga
2877,Mahindra KUV,Kochi,2017,60357,Diesel,Manual,First,Black/Silver,6,4,4.49,25.32,kmpl,1198,CC,77,bhp,8,Mahindra,KUV
2878,Volkswagen Polo,Kolkata,2011,55476,Diesel,Manual,First,Black/Silver,5,4,2.49,22.07,kmpl,1199,CC,73.9,bhp,14,Volkswagen,Polo
2879,Hyundai Getz,Jaipur,2009,97359,Diesel,Manual,Second,White,5,4,1.8,17.1,kmpl,1493,CC,110,bhp,16,Hyundai,Getz
2880,Maruti Grand,Mumbai,2017,25000,Petrol,Manual,First,Others,5,4,9,10.4,kmpl,2393,CC,163.5,bhp,8,Maruti,Grand
2881,Maruti SX4,Delhi,2014,90000,Diesel,Manual,First,Black/Silver,5,4,4.5,21.5,kmpl,1248,CC,88.8,bhp,11,Maruti,SX4
2882,Hyundai Verna,Jaipur,2014,97000,Diesel,Automatic,First,Others,5,4,8,22.32,kmpl,1582,CC,126.32,bhp,11,Hyundai,Verna
2883,Honda City,Hyderabad,2008,56000,Petrol,Automatic,First,Others,5,4,2.99,16.4,kmpl,1497,CC,78,bhp,17,Honda,City
2884,Volkswagen Vento,Kochi,2013,47910,Diesel,Manual,First,Others,5,4,4.89,20.54,kmpl,1598,CC,103.6,bhp,12,Volkswagen,Vento
2885,Honda CR-V,Hyderabad,2010,67758,Petrol,Manual,First,White,5,4,9.5,10.8,kmpl,2354,CC,98.59,bhp,15,Honda,CR-V
2886,Maruti Swift,Jaipur,2010,130000,Diesel,Manual,Second,Black/Silver,5,4,4,19.3,kmpl,1248,CC,73.9,bhp,15,Maruti,Swift
2887,Honda Brio,Mumbai,2014,36631,Petrol,Automatic,First,White,5,4,4.3,16.5,kmpl,1198,CC,86.8,bhp,11,Honda,Brio
2888,BMW Z4,Delhi,2011,25000,Petrol,Automatic,First,Black/Silver,2,2,30,10.37,kmpl,2979,CC,306,bhp,14,BMW,Z4
2889,Maruti Swift,Mumbai,2012,15000,Petrol,Manual,First,White,5,4,3.65,18.6,kmpl,1197,CC,85.8,bhp,13,Maruti,Swift
2890,Hyundai i20,Mumbai,2012,50000,Petrol,Manual,First,Black/Silver,5,4,3.7,18.5,kmpl,1197,CC,82.85,bhp,13,Hyundai,i20
2891,Toyota Fortuner,Chennai,2015,99000,Diesel,Manual,First,Black/Silver,7,5,20.5,13,kmpl,2982,CC,168.5,bhp,10,Toyota,Fortuner
2892,Maruti Wagon,Kolkata,2016,16956,Petrol,Manual,First,White,5,4,3.6,22.5,kmpl,998,CC,67.04,bhp,9,Maruti,Wagon
2893,Toyota Fortuner,Delhi,2013,123000,Diesel,Automatic,First,White,7,5,16.5,12.55,kmpl,2982,CC,168.5,bhp,12,Toyota,Fortuner
2894,Maruti Swift,Jaipur,2011,110000,Diesel,Manual,First,Others,5,4,3.5,19.3,kmpl,1248,CC,73.9,bhp,14,Maruti,Swift
2895,Ford Ecosport,Jaipur,2013,92250,Diesel,Manual,Second,White,5,4,5.75,22.7,kmpl,1498,CC,89.84,bhp,12,Ford,Ecosport
2896,Hyundai Santa,Coimbatore,2016,45794,Diesel,Automatic,First,Black/Silver,7,5,20.67,13.01,kmpl,2199,CC,194.3,bhp,9,Hyundai,Santa
2897,Maruti Ertiga,Hyderabad,2013,120000,Diesel,Manual,First,Others,7,5,7,20.77,kmpl,1248,CC,88.8,bhp,12,Maruti,Ertiga
2898,Maruti Alto,Pune,2015,73204,Petrol,Automatic,First,Others,5,4,3.3,24.07,kmpl,998,CC,67.1,bhp,10,Maruti,Alto
2899,Maruti Swift,Hyderabad,2012,80799,Diesel,Manual,First,White,5,4,4.9,22.9,kmpl,1248,CC,74,bhp,13,Maruti,Swift
2900,Maruti Omni,Hyderabad,2017,24571,Petrol,Manual,First,Others,5,4,2.9,14,kmpl,796,CC,35,bhp,8,Maruti,Omni
2901,Hyundai Verna,Delhi,2015,57000,Diesel,Manual,First,Black/Silver,5,4,6.6,23.9,kmpl,1582,CC,126.2,bhp,10,Hyundai,Verna
2902,BMW 5,Delhi,2013,76000,Diesel,Automatic,First,White,5,4,19,18.48,kmpl,1995,CC,177,bhp,12,BMW,5
2903,Chevrolet Beat,Delhi,2011,76155,Petrol,Manual,First,Black/Silver,5,4,1.95,18.6,kmpl,1199,CC,79.4,bhp,14,Chevrolet,Beat
2904,Maruti Wagon,Delhi,2012,68347,Petrol,Manual,First,Black/Silver,5,4,2.6,18.9,kmpl,998,CC,67.1,bhp,13,Maruti,Wagon
2905,Hyundai Verna,Pune,2011,49768,Petrol,Manual,Second,Others,5,4,4.95,17.01,kmpl,1591,CC,121.3,bhp,14,Hyundai,Verna
2906,Tata Safari,Jaipur,2017,28000,Diesel,Manual,First,Others,7,5,10.91,14,kmpl,2179,CC,138.1,bhp,8,Tata,Safari
2907,Tata Tiago,Coimbatore,2019,16698,Petrol,Manual,First,Others,5,4,5.85,23.84,kmpl,1199,CC,84,bhp,6,Tata,Tiago
2908,Mahindra XUV500,Coimbatore,2015,36836,Diesel,Manual,First,White,7,5,12.49,15.1,kmpl,2179,CC,140,bhp,10,Mahindra,XUV500
2909,Land Rover Discovery,Pune,2012,117236,Diesel,Automatic,Second,White,7,5,14,11.8,kmpl,2720,CC,190,bhp,13,Land Rover,Discovery
2910,Hyundai i20,Bangalore,2014,29000,Diesel,Manual,First,Others,5,4,8.35,22.54,kmpl,1396,CC,88.73,bhp,11,Hyundai,i20
2911,Honda City,Mumbai,2015,73070,Petrol,Manual,First,White,5,4,5.9,17.4,kmpl,1497,CC,117.3,bhp,10,Honda,City
2912,Renault Duster,Hyderabad,2013,60000,Diesel,Manual,First,White,5,4,7.5,19.64,kmpl,1461,CC,108.45,bhp,12,Renault,Duster
2913,Maruti Swift,Hyderabad,2010,86000,Diesel,Manual,Second,White,5,4,3.6,17.8,kmpl,1248,CC,75,bhp,15,Maruti,Swift
2914,Hyundai Verna,Kochi,2016,42876,Diesel,Automatic,First,Black/Silver,5,4,9.31,19.08,kmpl,1582,CC,126.2,bhp,9,Hyundai,Verna
2915,Skoda Rapid,Mumbai,2014,32000,Petrol,Automatic,First,Black/Silver,5,4,5.55,14.3,kmpl,1598,CC,103.5,bhp,11,Skoda,Rapid
2916,Hyundai Xcent,Mumbai,2016,50000,Diesel,Manual,First,Others,5,4,3.5,25.4,kmpl,1186,CC,73.97,bhp,9,Hyundai,Xcent
2917,Maruti Swift,Kochi,2016,38143,Diesel,Manual,First,Others,5,4,5.22,22.9,kmpl,1248,CC,74,bhp,9,Maruti,Swift
2918,Ford Figo,Coimbatore,2017,39419,Petrol,Manual,First,White,5,4,4.95,18.16,kmpl,1196,CC,86.8,bhp,8,Ford,Figo
2919,Hyundai Elite,Mumbai,2015,28133,Petrol,Manual,First,Others,5,4,5.6,18.6,kmpl,1197,CC,81.86,bhp,10,Hyundai,Elite
2920,Hyundai i10,Coimbatore,2012,47324,Petrol,Manual,Second,White,5,4,4.52,20.36,kmpl,1197,CC,78.9,bhp,13,Hyundai,i10
2921,Renault Duster,Delhi,2014,90000,Diesel,Manual,First,White,5,4,5.35,19.87,kmpl,1461,CC,83.8,bhp,11,Renault,Duster
2922,Volkswagen CrossPolo,Hyderabad,2015,80768,Diesel,Manual,First,White,5,4,5.7,20.14,kmpl,1498,CC,88.73,bhp,10,Volkswagen,CrossPolo
2923,Volkswagen Polo,Mumbai,2015,31978,Petrol,Manual,First,White,5,4,3.89,16.47,kmpl,1198,CC,73.9,bhp,10,Volkswagen,Polo
2924,Hyundai i20,Ahmedabad,2014,64000,Diesel,Manual,First,White,5,4,4.25,21.9,kmpl,1396,CC,90,bhp,11,Hyundai,i20
2925,Mercedes-Benz GL-Class,Delhi,2014,85000,Diesel,Automatic,First,White,7,5,38.75,11.3,kmpl,2987,CC,254.8,bhp,11,Mercedes-Benz,GL-Class
2926,Maruti Alto,Mumbai,2018,11000,Petrol,Manual,First,White,5,4,3.35,24.7,kmpl,796,CC,47.3,bhp,7,Maruti,Alto
2927,Mercedes-Benz M-Class,Pune,2015,69000,Diesel,Automatic,First,Others,5,4,38,0,kmpl,2987,CC,165,bhp,10,Mercedes-Benz,M-Class
2928,Ford Figo,Chennai,2011,72000,Diesel,Manual,First,White,5,4,2.9,20,kmpl,1399,CC,68,bhp,14,Ford,Figo
2929,Hyundai EON,Jaipur,2017,52000,Petrol,Manual,Second,Others,5,4,3.5,21.1,kmpl,814,CC,55.2,bhp,8,Hyundai,EON
2930,Toyota Etios,Chennai,2012,150000,Diesel,Manual,Third,Others,5,4,3,23.59,kmpl,1364,CC,98.59,bhp,13,Toyota,Etios
2931,Honda CR-V,Kochi,2011,55987,Petrol,Automatic,First,Others,5,4,8.22,13.7,kmpl,1997,CC,153.86,bhp,14,Honda,CR-V
2932,Maruti Celerio,Kolkata,2018,30000,Petrol,Manual,First,Others,5,4,3.75,23.1,kmpl,998,CC,67.04,bhp,7,Maruti,Celerio
2933,Chevrolet Beat,Hyderabad,2011,47000,Diesel,Manual,First,Others,5,4,2.5,25.44,kmpl,936,CC,57.6,bhp,14,Chevrolet,Beat
2934,Maruti Alto,Hyderabad,2004,81500,Petrol,Manual,Second,White,5,4,1.3,19.7,kmpl,796,CC,46.3,bhp,21,Maruti,Alto
2935,Hyundai Xcent,Delhi,2016,36676,CNG,Manual,First,Black/Silver,5,4,5,25,km/kg,1197,CC,81.86,bhp,9,Hyundai,Xcent
2936,Hyundai Santro,Delhi,2012,61449,Petrol,Manual,First,Others,5,4,2.15,0,kmpl,1086,CC,62,bhp,13,Hyundai,Santro
2937,Chevrolet Aveo,Pune,2006,78000,Petrol,Manual,Third,Others,5,4,1.2,14.49,kmpl,1399,CC,92.7,bhp,19,Chevrolet,Aveo
2938,Chevrolet Cruze,Jaipur,2017,51087,Diesel,Manual,First,Black/Silver,5,4,7.75,17.9,kmpl,1998,CC,163.7,bhp,8,Chevrolet,Cruze
2939,Maruti Vitara,Hyderabad,2018,11000,Diesel,Manual,First,Others,5,4,9.4,24.3,kmpl,1248,CC,88.5,bhp,7,Maruti,Vitara
2940,Maruti Eeco,Pune,2011,45000,Petrol,Manual,First,Black/Silver,7,5,2.25,15.1,kmpl,1196,CC,73,bhp,14,Maruti,Eeco
2941,Toyota Fortuner,Kochi,2018,37713,Diesel,Automatic,Second,White,7,5,31.62,12.55,kmpl,2982,CC,168.5,bhp,7,Toyota,Fortuner
2942,Maruti Ritz,Coimbatore,2011,88539,Diesel,Manual,First,White,5,4,3.77,23.2,kmpl,1248,CC,73.94,bhp,14,Maruti,Ritz
2943,Maruti Ignis,Kochi,2019,12076,Petrol,Manual,First,White,5,4,5.5,20.89,kmpl,1197,CC,81.8,bhp,6,Maruti,Ignis
2944,Fiat Linea,Kolkata,2010,145000,Diesel,Manual,First,Others,5,4,2.6,20.4,kmpl,1248,CC,91.7,bhp,15,Fiat,Linea
2945,BMW 3,Mumbai,2009,61500,Diesel,Automatic,Second,White,5,4,8.5,16.07,kmpl,1995,CC,181,bhp,16,BMW,3
2946,Maruti Ritz,Hyderabad,2011,127887,Diesel,Manual,First,Black/Silver,5,4,2.95,21.1,kmpl,1248,CC,73.9,bhp,14,Maruti,Ritz
2947,Mitsubishi Pajero,Mumbai,2013,59000,Diesel,Manual,First,White,7,5,12.75,13.5,kmpl,2477,CC,175.56,bhp,12,Mitsubishi,Pajero
2948,Hyundai i10,Kolkata,2013,21000,Petrol,Manual,First,Black/Silver,5,4,2.35,20.36,kmpl,1197,CC,78.9,bhp,12,Hyundai,i10
2949,Audi Q7,Bangalore,2015,21000,Diesel,Automatic,First,White,7,5,48,12.07,kmpl,2967,CC,241.4,bhp,10,Audi,Q7
2950,Mercedes-Benz GLA,Kolkata,2015,35000,Diesel,Automatic,First,Black/Silver,5,4,20.99,17.9,kmpl,2143,CC,136,bhp,10,Mercedes-Benz,GLA
2951,Hyundai EON,Bangalore,2013,45010,Petrol,Manual,Second,Others,5,4,2.95,21.1,kmpl,814,CC,55.2,bhp,12,Hyundai,EON
2952,Hyundai i20,Delhi,2012,71000,Diesel,Manual,First,Others,5,4,3.7,23,kmpl,1396,CC,90,bhp,13,Hyundai,i20
2953,Maruti Wagon,Pune,2008,82500,Petrol,Manual,First,White,5,4,1.75,14,kmpl,1061,CC,64,bhp,17,Maruti,Wagon
2954,Ford Figo,Bangalore,2011,68465,Petrol,Manual,First,Others,5,4,2.95,15.6,kmpl,1196,CC,70,bhp,14,Ford,Figo
2955,Mahindra KUV,Kochi,2017,39528,Diesel,Manual,First,Black/Silver,6,4,5.83,25.32,kmpl,1198,CC,77,bhp,8,Mahindra,KUV
2956,Hyundai i20,Pune,2012,56200,Petrol,Automatic,First,White,5,4,3.85,15,kmpl,1396,CC,98.6,bhp,13,Hyundai,i20
2957,Maruti Ertiga,Pune,2013,105000,Diesel,Manual,Second,White,7,5,6.75,25.47,kmpl,1248,CC,88.5,bhp,12,Maruti,Ertiga
2958,Hyundai Grand,Delhi,2017,8471,Petrol,Manual,First,Black/Silver,5,4,5,18.9,kmpl,1197,CC,81.86,bhp,8,Hyundai,Grand
2959,Mahindra Scorpio,Ahmedabad,2011,70000,Diesel,Manual,Second,White,8,5,7.45,12.05,kmpl,2179,CC,120,bhp,14,Mahindra,Scorpio
2960,Hyundai Xcent,Pune,2018,40000,Petrol,Manual,First,White,5,4,5,20.14,kmpl,1197,CC,81.86,bhp,7,Hyundai,Xcent
2961,Hyundai Elantra,Ahmedabad,2018,35000,Diesel,Manual,First,Others,5,4,15,22.7,kmpl,1582,CC,126.2,bhp,7,Hyundai,Elantra
2962,Volkswagen Polo,Pune,2011,65000,Petrol,Manual,Second,White,5,4,3,16.47,kmpl,1198,CC,73.9,bhp,14,Volkswagen,Polo
2963,BMW 5,Coimbatore,2016,20967,Diesel,Automatic,First,Others,5,4,44.56,14.69,kmpl,2993,CC,258,bhp,9,BMW,5
2964,Mercedes-Benz New,Delhi,2012,63000,Diesel,Automatic,First,White,5,4,14.22,14.94,kmpl,2143,CC,204,bhp,13,Mercedes-Benz,New
2965,Audi A6,Delhi,2014,56000,Diesel,Automatic,Second,White,5,4,29.5,18.53,kmpl,1968,CC,187.74,bhp,11,Audi,A6
2966,Land Rover Discovery,Hyderabad,2016,62000,Diesel,Automatic,First,Others,7,5,44.5,12.51,kmpl,2179,CC,187.7,bhp,9,Land Rover,Discovery
2967,BMW 5,Bangalore,2015,16900,Diesel,Automatic,First,Black/Silver,5,4,44,14.69,kmpl,2993,CC,258,bhp,10,BMW,5
2968,Hyundai EON,Coimbatore,2013,65060,Petrol,Manual,First,Black/Silver,5,4,3.32,21.1,kmpl,814,CC,55.2,bhp,12,Hyundai,EON
2969,Toyota Innova,Pune,2009,118000,Diesel,Manual,First,Others,8,5,4.5,12.8,kmpl,2494,CC,102,bhp,16,Toyota,Innova
2970,Hyundai Verna,Delhi,2014,61566,Petrol,Manual,First,Others,5,4,5.85,17.1,kmpl,1591,CC,121.3,bhp,11,Hyundai,Verna
2971,Mercedes-Benz New,Hyderabad,2017,10000,Diesel,Automatic,First,Black/Silver,5,4,36,19.27,kmpl,2143,CC,167.62,bhp,8,Mercedes-Benz,New
2972,Honda City,Mumbai,2016,34634,Petrol,Manual,First,White,5,4,6.9,17.8,kmpl,1497,CC,117.3,bhp,9,Honda,City
2973,Tata Nano,Coimbatore,2017,32684,Petrol,Automatic,First,White,4,4,3.23,21.9,kmpl,624,CC,37.48,bhp,8,Tata,Nano
2974,Volkswagen Polo,Bangalore,2015,46354,Petrol,Manual,Second,Black/Silver,5,4,5.49,16.47,kmpl,1198,CC,74,bhp,10,Volkswagen,Polo
2975,Volkswagen Polo,Coimbatore,2015,56900,Diesel,Manual,First,Black/Silver,5,4,4.1,20.14,kmpl,1498,CC,88.8,bhp,10,Volkswagen,Polo
2976,Volkswagen Polo,Hyderabad,2014,69000,Diesel,Manual,First,White,5,4,5.19,20.14,kmpl,1498,CC,88.8,bhp,11,Volkswagen,Polo
2977,Maruti Wagon,Jaipur,2015,34000,Petrol,Automatic,First,White,5,4,3.85,20.51,kmpl,998,CC,67,bhp,10,Maruti,Wagon
2978,Renault KWID,Kochi,2017,32587,Petrol,Manual,First,Others,5,4,3.71,25.17,kmpl,799,CC,53.3,bhp,8,Renault,KWID
2979,Maruti Swift,Chennai,2015,29500,Petrol,Manual,First,Others,5,4,4.15,20.4,kmpl,1197,CC,81.8,bhp,10,Maruti,Swift
2980,Hyundai Grand,Mumbai,2017,8500,Petrol,Manual,Second,Black/Silver,5,4,4.8,18.9,kmpl,1197,CC,82,bhp,8,Hyundai,Grand
2981,BMW 6,Kochi,2010,65329,Petrol,Automatic,First,Others,4,4,20.72,7.94,kmpl,4395,CC,450,bhp,15,BMW,6
2982,Mercedes-Benz GL-Class,Delhi,2016,16000,Diesel,Automatic,First,Black/Silver,7,5,56,11.3,kmpl,2987,CC,254.8,bhp,9,Mercedes-Benz,GL-Class
2983,Maruti Swift,Jaipur,2016,54897,Diesel,Automatic,First,White,5,4,7.3,26.59,kmpl,1248,CC,74,bhp,9,Maruti,Swift
2984,Toyota Corolla,Kolkata,2009,45000,Petrol,Manual,Second,Black/Silver,5,4,3.3,14.53,kmpl,1798,CC,138.1,bhp,16,Toyota,Corolla
2985,Audi A6,Coimbatore,2017,55975,Diesel,Automatic,Second,Others,5,4,35.92,17.68,kmpl,1968,CC,174.33,bhp,8,Audi,A6
2986,Hyundai i10,Coimbatore,2013,32776,Petrol,Manual,First,Others,5,4,4.64,20.36,kmpl,1197,CC,78.9,bhp,12,Hyundai,i10
2987,Hyundai Verna,Bangalore,2012,79000,Diesel,Automatic,First,Others,5,4,5.25,22,kmpl,1582,CC,126.2,bhp,13,Hyundai,Verna
2988,Honda Amaze,Jaipur,2015,42000,Petrol,Manual,Second,Black/Silver,5,4,4.3,18,kmpl,1198,CC,86.7,bhp,10,Honda,Amaze
2989,Audi Q7,Coimbatore,2016,51002,Diesel,Automatic,First,White,7,5,48.91,11.33,kmpl,4134,CC,335.2,bhp,9,Audi,Q7
2990,Volkswagen Polo,Mumbai,2016,7523,Petrol,Manual,First,Others,5,4,6.15,16.2,kmpl,1199,CC,74,bhp,9,Volkswagen,Polo
2991,Hyundai i20,Delhi,2015,21000,Petrol,Manual,First,White,5,4,4.9,18.6,kmpl,1197,CC,81.83,bhp,10,Hyundai,i20
2992,Renault KWID,Jaipur,2017,33000,Petrol,Automatic,First,Others,5,4,3.2,24.04,kmpl,999,CC,67,bhp,8,Renault,KWID
2993,Hyundai Grand,Kochi,2017,20773,Diesel,Manual,First,White,5,4,5.92,24,kmpl,1186,CC,73.97,bhp,8,Hyundai,Grand
2994,Ford Figo,Pune,2014,21727,Petrol,Manual,First,Others,5,4,3.35,15.6,kmpl,1196,CC,70.02,bhp,11,Ford,Figo
2995,Fiat Grande,Delhi,2010,120000,Diesel,Manual,First,White,5,4,1.65,17.8,kmpl,1248,CC,76,bhp,15,Fiat,Grande
2996,Hyundai Creta,Coimbatore,2017,101065,Diesel,Manual,First,Others,5,4,11.45,20.5,kmpl,1582,CC,126.2,bhp,8,Hyundai,Creta
2997,BMW X1,Delhi,2011,72000,Diesel,Automatic,First,Others,5,4,11,17.05,kmpl,1995,CC,184,bhp,14,BMW,X1
2998,Fiat Linea,Kolkata,2015,32000,Diesel,Manual,First,White,5,4,4.65,20.4,kmpl,1248,CC,91.7,bhp,10,Fiat,Linea
2999,Mitsubishi Pajero,Pune,2012,116000,Diesel,Manual,First,Black/Silver,6,5,9.95,10.5,kmpl,2835,CC,107.2,bhp,13,Mitsubishi,Pajero
3000,Mercedes-Benz New,Pune,2015,50000,Diesel,Automatic,First,White,5,4,30,19.27,kmpl,2143,CC,167.62,bhp,10,Mercedes-Benz,New
3001,Skoda Rapid,Bangalore,2013,66700,Petrol,Manual,First,White,5,4,4,15,kmpl,1598,CC,103.5,bhp,12,Skoda,Rapid
3002,Volkswagen Polo,Mumbai,2014,54230,Petrol,Manual,First,White,5,4,4.5,16.47,kmpl,1198,CC,74,bhp,11,Volkswagen,Polo
3003,Hyundai Grand,Delhi,2015,59261,Diesel,Manual,First,White,5,4,4.25,24,kmpl,1186,CC,73.97,bhp,10,Hyundai,Grand
3004,Maruti Swift,Jaipur,2016,55000,Diesel,Manual,First,Black/Silver,5,4,5.65,22.9,kmpl,1248,CC,74,bhp,9,Maruti,Swift
3005,Ford Figo,Hyderabad,2014,74624,Diesel,Manual,First,Black/Silver,5,4,5.65,20,kmpl,1399,CC,68.05,bhp,11,Ford,Figo
3006,BMW 5,Coimbatore,2016,19658,Diesel,Automatic,First,Others,5,4,35.84,18.12,kmpl,1995,CC,190,bhp,9,BMW,5
3007,Hyundai Santro,Kochi,2008,80759,Petrol,Manual,Third,Others,5,4,1.67,17,kmpl,1086,CC,98.59,bhp,17,Hyundai,Santro
3008,Hyundai Grand,Coimbatore,2017,33284,Petrol,Manual,First,Black/Silver,5,4,5.84,18.9,kmpl,1197,CC,82,bhp,8,Hyundai,Grand
3009,Renault Pulse,Delhi,2016,40190,Petrol,Manual,First,Black/Silver,5,4,4.25,18.06,kmpl,1198,CC,74.93,bhp,9,Renault,Pulse
3010,BMW 1,Coimbatore,2015,31821,Diesel,Automatic,First,Others,5,4,17.22,20.58,kmpl,1995,CC,143,bhp,10,BMW,1
3011,Chevrolet Beat,Chennai,2010,66000,Petrol,Manual,First,Black/Silver,5,4,2.19,18.6,kmpl,1199,CC,79.4,bhp,15,Chevrolet,Beat
3012,Ford Figo,Coimbatore,2017,28854,Petrol,Manual,First,Black/Silver,5,4,6.7,18.16,kmpl,1196,CC,86.8,bhp,8,Ford,Figo
3013,BMW 3,Coimbatore,2010,59660,Petrol,Automatic,First,White,5,4,10.49,12.05,kmpl,1995,CC,154,bhp,15,BMW,3
3014,Hyundai i20,Kolkata,2011,36000,Petrol,Manual,First,White,5,4,2.5,18.5,kmpl,1197,CC,80,bhp,14,Hyundai,i20
